电视频道,#genre#

国际频道,#genre#
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
CGTN 法语频道,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN 俄语频道,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN 阿拉伯语频道,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN 纪录频道,https://livedoc.cgtn.com/500d/prog_index.m3u8

测试,#genre#


TVB剧场,#genre#
TVB-1【封神榜2001】,http://8.137.57.240:81/hy.php?url=23749096
TVB-2【西游记二1998】,http://8.137.57.240:81/hy.php?url=23735126
TVB-3【楚汉骄雄2004】,http://8.137.57.240:81/hy.php?url=23740156
TVB-4【西游记1996】,http://8.137.57.240:81/hy.php?url=23728660
TVB-5【鹿鼎记1998】,http://8.137.57.240:81/hy.php?url=23865080
TVB-6【天龙八部1997】,http://8.137.57.240:81/hy.php?url=23903123
TVB-7【刑事侦缉档案】,http://8.137.57.240:81/hy.php?url=23734169
TVB-8【法证先锋】,http://8.137.57.240:81/hy.php?url=23863804
TVB-9【寻秦记2001】,http://8.137.57.240:81/hy.php?url=23864973
TVB-10【洗冤录】,http://8.137.57.240:81/hy.php?url=23903130
TVB-11【笑傲江湖1996】,http://8.137.57.240:81/hy.php?url=23865142
TVB-12【陀枪师姐】,http://8.137.57.240:81/hy.php?url=23860039
TVB-13【神雕侠侣1995】,http://8.137.57.240:81/hy.php?url=23865171
TVB-14【倚天屠龙记2001】,http://8.137.57.240:81/hy.php?url=23734246
TVB-15【使徒行者】,http://8.137.57.240:81/hy.php?url=23734256
TVB-16【鉴证实录】,http://8.137.57.240:81/hy.php?url=23903183
TVB-17【扫黄先锋1998】,http://8.137.57.240:81/hy.php?url=23903196
TVB-18【大唐双龙传2004】,http://8.137.57.240:81/hy.php?url=23728674
TVB-19【金枝欲孽2004】,http://8.137.57.240:81/hy.php?url=23865036
TVB-20【创世纪1999】,http://8.137.57.240:81/hy.php?url=23749083
TVB-21【笑看风云1994】,http://8.137.57.240:81/hy.php?url=23865058
TVB-22【大时代1992】,http://8.137.57.240:81/hy.php?url=23865161
TVB-23【妙手仁心】,http://8.137.57.240:81/hy.php?url=23829543
TVB-24【射雕英雄传之九阴真经1993】,http://8.137.57.240:81/hy.php?url=23824164
TVB-25【鹿鼎记1984】,http://8.137.57.240:81/hy.php?url=23734183
